Date,ret,vol,state,prob_S1,prob_S2,prob_S3,prob_S4,prob_S5,date_num
2015-04-09,0.007614084454393044,0.012588032844785366,2,1.543560668410006e-05,5.701255586259656e-06,0.7927694438449556,0.20720939444129116,2.4851421102797024e-08,56
2015-04-10,0.004257940362095702,0.01251207396041334,2,2.683841937603213e-05,1.0804781480518227e-06,0.9643149021591552,0.03565717647829759,2.46520620534741e-09,57
2015-04-13,-0.0019691452152050815,0.012100272316035103,2,0.0031713871572494226,7.265663200101811e-07,0.9925071405297008,0.004320745741267814,5.466310969922777e-12,58
2015-04-14,-0.004344989156360501,0.009395720413313014,0,0.5561616009955223,1.8230019817753964e-08,0.443816901336579,2.1479438095802293e-05,6.6183035732014354e-15,59
2015-04-15,0.0037932898355186317,0.0077069833928031855,0,0.9882517623556875,2.5336511374321065e-10,0.011748140333635991,9.705722147901294e-08,5.710151637152299e-16,60
2015-04-16,-0.004823076375669366,0.007938913681370476,0,0.9912333318068044,1.436322960670136e-10,0.008766595418827825,7.263060489829658e-08,1.5600209892397917e-16,61
2015-04-17,-0.011318784463195009,0.008454232432119072,0,0.8651624574023581,4.227780035103662e-09,0.13483583520932685,1.7031604979731945e-06,5.347524096621562e-16,62
2015-04-20,0.022588729631996873,0.009983351039103687,2,0.10553388358991532,7.70868257603301e-08,0.8944208936758399,4.514564742614215e-05,2.382606376438261e-15,63
2015-04-21,-0.0054220344958215705,0.009485844219576127,2,0.06323819111116052,6.053127757221238e-09,0.9367368897026821,2.491313318371111e-05,4.7385121146908704e-14,64
2015-04-22,0.013383666019475271,0.010148597250924577,2,0.012893292574625653,1.1658300093513953e-08,0.9870558908205646,5.0804946532329434e-05,1.6941048411970916e-14,65
2015-04-23,0.0081308765332051,0.010179503569111795,2,0.004709710674958278,8.085951705554179e-09,0.9952420597290552,4.8221509992937514e-05,5.355976845277436e-14,66
2015-04-24,0.004693067787636451,0.01018912197697586,2,0.0024741336958056756,1.059027331433619e-08,0.9974470432897563,7.881242119840966e-05,3.142473332017984e-12,67
2015-04-27,0.018028234988285874,0.011138923795190936,2,0.00010657207626846773,7.002760994935782e-07,0.9940956194529461,0.005797108011345021,1.831372158573355e-10,68
2015-04-28,-0.015881187522249984,0.012648494605275238,2,1.2835743906926023e-06,2.2705705665276877e-05,0.7956304647739327,0.20434553998852478,5.95764892896878e-09,69
2015-04-29,-0.014815092642914696,0.013879596685031413,3,3.4039076939471005e-08,0.0001709534366524359,0.18331603556623932,0.8165128512675554,1.256903039181284e-07,70
2015-04-30,-0.027504743850369717,0.016605423728961843,3,2.9303677882146582e-15,0.0033095874804833316,3.479516815532757e-05,0.9966530598602766,2.557490873070292e-06,71
2015-05-01,0.0299117642865947,0.018694026686707072,3,5.383943125328475e-20,0.01222365459995959,2.1471966260546434e-10,0.9877688819775567,7.46320797751824e-06,72
2015-05-04,-0.001941000286089789,0.01745151276867788,3,1.5716305563730199e-15,0.008795620771463182,2.0408469848564886e-07,0.9912006403766135,3.5347670916667146e-06,73
2015-05-05,-0.022790496099705404,0.01894628724798026,3,1.5247739807991615e-20,0.023417308417654756,1.0669281412603568e-09,0.9765714735446779,1.121697051823941e-05,74
2015-05-06,-0.006299725673736045,0.018311785133371162,3,1.4928992507556828e-17,0.017688296660048966,1.1900263159808873e-08,0.9823060101036775,5.681335976478378e-06,75
2015-05-07,0.006166469541559749,0.018191075071695383,3,5.308748907874241e-17,0.017193747307957367,1.2196734312025796e-08,0.9828014137044603,4.826790889504262e-06,76
2015-05-08,0.018665427671602508,0.019350942799319593,3,3.817597079148129e-20,0.02583696790230845,6.16251662693777e-11,0.9741540164181293,9.015617956695456e-06,77
2015-05-11,-0.010238839355924956,0.018187259048474028,3,1.3830730435342807e-17,0.01096023430157176,1.8633232149729653e-08,0.989034523024238,5.224040806422353e-06,78
2015-05-12,-0.0035685119560713296,0.017740388132187413,3,2.542252086705281e-16,0.0029600572734104673,7.832097922067536e-08,0.9970381243925287,1.7400129221646532e-06,79
2015-05-13,0.0011113221206739965,0.017295232108639133,3,2.508639462935803e-15,0.0007732493226747739,2.980182068457632e-07,0.9992258200098758,6.32649466453549e-07,80
2015-05-14,0.023063686114004778,0.016256928040414773,3,9.423863237408925e-13,0.00030080514918975475,5.6745331617692534e-05,0.9996420050308588,4.4448734694619577e-07,81
2015-05-15,-0.0013970136358598673,0.013338351823818515,3,1.151477400812971e-06,2.045524127410666e-05,0.25274346814002036,0.7472347063992002,2.187422783588082e-07,82
2015-05-18,0.01096748006894499,0.013719026580705389,3,9.896580586535835e-07,2.323733209469328e-05,0.45795674194361735,0.5420190285704877,2.4957827893820548e-09,83
2015-05-19,-0.0009226025810238347,0.010847182866048551,2,0.0005522286204782222,1.9816727131508112e-07,0.9924811775921633,0.006966395384038389,2.3596512028361117e-10,84
2015-05-20,-7.676887801322252e-05,0.010374475529038668,2,0.0012900745514512664,9.845833237958925e-09,0.9986011744245425,0.00010874117285806468,5.204483875821601e-12,85
2015-05-21,0.010174075192709964,0.010527556176754807,2,0.00134553660719385,1.2006994605912233e-08,0.9985769484778015,7.75029078486374e-05,5.420450997384353e-14,86
2015-05-22,0.00871410810551021,0.009487950847610538,2,0.005830645068958873,5.6596266376615606e-09,0.9941414461843849,2.790308438045103e-05,2.477600697665208e-12,87
2015-05-26,-0.022276997261217346,0.011917322948896468,2,4.592073031856773e-06,3.328345467119889e-07,0.9981023914385189,0.0018926836478731347,5.926518361769197e-12,88
2015-05-27,0.018497688299629278,0.012671620465903527,2,4.680887386835639e-06,7.753625259768422e-07,0.9947046331910147,0.0052899103834833875,1.7555504702795196e-10,89
2015-05-28,-0.0019709206398372814,0.012807676899140667,2,7.860577829513253e-06,3.7421761357104187e-07,0.9959733220809766,0.004018443072025971,5.1557384441240055e-11,90
2015-05-29,-0.011447974543385087,0.011857405589111355,2,1.930330344966303e-05,9.00213325490445e-08,0.999056701211883,0.0009239054374931105,2.5988281741350247e-11,91
2015-06-01,0.001993656104656516,0.01182886101621463,2,5.7672137897325495e-05,5.435874557482088e-08,0.9994211907686466,0.0005210827326231647,2.152548412677645e-12,92
2015-06-02,-0.004453093035753142,0.011436618237376699,2,9.504359964762942e-05,3.167339622130832e-08,0.9996180929683262,0.00028683175746797715,1.0993266619560567e-12,93
